raw_score,mcq_score,ans_score,year,scaled_score,mcqs,ans,questions,mcq_prop,ans_prop,prop
23,20,3,2008,510,42,12,54,0.476190476,0.25,0.425925926
24,19,5,2008,520,42,12,54,0.452380952,0.416666667,0.444444444
22,18,4,2008,510,42,12,54,0.428571429,0.333333333,0.407407407
27,23,4,2008,550,42,12,54,0.547619048,0.333333333,0.5
32,24,8,2008,580,42,12,54,0.571428571,0.666666667,0.592592593
24,21,3,2008,520,42,12,54,0.5,0.25,0.444444444
25,20,5,2008,530,42,12,54,0.476190476,0.416666667,0.462962963
22,19,3,2008,510,42,12,54,0.452380952,0.25,0.407407407
27,22,5,2008,550,42,12,54,0.523809524,0.416666667,0.5
23,19,4,2008,510,42,12,54,0.452380952,0.333333333,0.425925926
30,25,5,2008,570,42,12,54,0.595238095,0.416666667,0.555555556
22,18,4,2008,510,42,12,54,0.428571429,0.333333333,0.407407407
26,18,8,2008,540,42,12,54,0.428571429,0.666666667,0.481481481
29,26,3,2008,570,42,12,54,0.619047619,0.25,0.537037037
24,20,4,2008,520,42,12,54,0.476190476,0.333333333,0.444444444
23,17,6,2008,510,42,12,54,0.404761905,0.5,0.425925926
26,22,4,2008,540,42,12,54,0.523809524,0.333333333,0.481481481
22,20,2,2008,510,42,12,54,0.476190476,0.166666667,0.407407407
28,22,6,2008,560,42,12,54,0.523809524,0.5,0.518518519
28,23,5,2008,560,42,12,54,0.547619048,0.416666667,0.518518519
26,21,5,2008,540,42,12,54,0.5,0.416666667,0.481481481
26,20,6,2008,540,42,12,54,0.476190476,0.5,0.481481481
30,27,3,2008,570,42,12,54,0.642857143,0.25,0.555555556
27,24,3,2008,550,42,12,54,0.571428571,0.25,0.5
28,23,5,2008,560,42,12,54,0.547619048,0.416666667,0.518518519
21,16,5,2008,510,42,12,54,0.380952381,0.416666667,0.388888889
28,21,7,2008,560,42,12,54,0.5,0.583333333,0.518518519
26,21,5,2008,540,42,12,54,0.5,0.416666667,0.481481481
27,19,8,2008,550,42,12,54,0.452380952,0.666666667,0.5
19,14,5,2008,490,42,12,54,0.333333333,0.416666667,0.351851852
21,19,2,2008,510,42,12,54,0.452380952,0.166666667,0.388888889
29,25,4,2008,570,42,12,54,0.595238095,0.333333333,0.537037037
22,19,3,2008,510,42,12,54,0.452380952,0.25,0.407407407
25,23,2,2008,530,42,12,54,0.547619048,0.166666667,0.462962963
22,19,3,2008,510,42,12,54,0.452380952,0.25,0.407407407
19,17,2,2008,490,42,12,54,0.404761905,0.166666667,0.351851852
26,21,5,2008,540,42,12,54,0.5,0.416666667,0.481481481
22,18,4,2008,510,42,12,54,0.428571429,0.333333333,0.407407407
23,20,3,2008,510,42,12,54,0.476190476,0.25,0.425925926
23,19,4,2008,510,42,12,54,0.452380952,0.333333333,0.425925926
23,19,4,2008,510,42,12,54,0.452380952,0.333333333,0.425925926
26,19,7,2008,540,42,12,54,0.452380952,0.583333333,0.481481481
28,23,5,2008,560,42,12,54,0.547619048,0.416666667,0.518518519
25,21,4,2008,530,42,12,54,0.5,0.333333333,0.462962963
29,23,6,2008,570,42,12,54,0.547619048,0.5,0.537037037
31,26,5,2008,570,42,12,54,0.619047619,0.416666667,0.574074074
23,19,4,2008,510,42,12,54,0.452380952,0.333333333,0.425925926
29,23,6,2008,570,42,12,54,0.547619048,0.5,0.537037037
27,22,5,2008,550,42,12,54,0.523809524,0.416666667,0.5
28,22,6,2008,560,42,12,54,0.523809524,0.5,0.518518519
27,19,8,2009,550,42,12,54,0.452380952,0.666666667,0.5
30,25,5,2009,570,42,12,54,0.595238095,0.416666667,0.555555556
26,20,6,2009,540,42,12,54,0.476190476,0.5,0.481481481
25,19,6,2009,530,42,12,54,0.452380952,0.5,0.462962963
25,20,5,2009,530,42,12,54,0.476190476,0.416666667,0.462962963
28,20,8,2009,560,42,12,54,0.476190476,0.666666667,0.518518519
25,18,7,2009,530,42,12,54,0.428571429,0.583333333,0.462962963
